key,chars,files,level,words
judete/Dobrogea/Tulcea/ziaruldetulcea.ro,192444,115,4,30013
judete/Ardeal,4474944,1419,2,711178
judete/Ardeal/Alba,315888,124,3,50861
judete/Ardeal/Alba/abnews,122319,59,4,19103
judete/Ardeal/Alba/alba24,119793,42,4,19123
judete/Ardeal/Alba/blajinfo,73776,23,4,12635
judete/Ardeal/Bistrita,140670,53,3,22584
judete/Ardeal/Bistrita/bistriteanul,23039,14,4,3712
judete/Ardeal/Bistrita/gazetadebistrita,111784,35,4,17917
judete/Ardeal/Bistrita/observatorbn,5847,4,4,955
judete/Ardeal/Harghita,566079,146,3,87532
judete/Ardeal/Harghita/informatiahr,566079,146,4,87532
judete/Ardeal/Cluj,868006,287,3,135064
judete/Ardeal/Cluj/monitorulcluj,318136,120,4,48494
judete/Ardeal/Cluj/gazetadecluj,305877,80,4,48646
judete/Ardeal/Cluj/bzc,243993,87,4,37924
judete/Ardeal/Hunedoara,1788867,523,3,287866
judete/Ardeal/Hunedoara/gazetadedimineata,1141379,199,4,183979
judete/Ardeal/Hunedoara/glasulhd,376909,191,4,59788
judete/Ardeal/Hunedoara/jvj,270579,133,4,44099
judete/Ardeal/Brasov,155319,86,3,24343
judete/Ardeal/Brasov/bunaziuabrasov,49134,19,4,7893
judete/Ardeal/Brasov/brasovultau,49657,31,4,7692
judete/Ardeal/Brasov/bunaziuafagaras,56528,36,4,8758
judete/Ardeal/Covasna,640115,200,3,102928
judete/Ardeal/Covasna/covasnamedia,640115,200,4,102928
judete/Muntenia,4709541,2168,2,738321
judete/Muntenia/Ialomita,458807,123,3,72366
judete/Muntenia/Ialomita/ziarulimpact,386148,96,4,61043
judete/Muntenia/Ialomita/ziarulialomita,72659,27,4,11323
judete/Muntenia/Teleorman,1795108,965,3,274232
judete/Muntenia/Teleorman/Cronica_De_Teleorman,591696,300,4,88926
judete/Muntenia/Teleorman/Informatia_De_Teleorman,460278,300,4,70139
judete/Muntenia/Teleorman/Liber_In_Teleorman,627027,300,4,97605
judete/Muntenia/Teleorman/TRNews,116107,65,4,17562
judete/Muntenia/Buzau,605999,262,3,97110
judete/Muntenia/Buzau/opiniabuzau,496075,142,4,78893
judete/Muntenia/Buzau/sansabuzoiana,34022,95,4,5310
judete/Muntenia/Buzau/arenabuzoiana,75902,25,4,12907
judete/Muntenia/Arges,332831,148,3,53098
judete/Muntenia/Arges/argesfocus,76215,35,4,12325
judete/Muntenia/Arges/argesexpres,66529,35,4,10086
judete/Muntenia/Arges/atitudineinarges,190087,78,4,30687
judete/Muntenia/Braila,102582,40,3,16870
judete/Muntenia/Braila/debraila,102582,40,4,16870
judete/Muntenia/Giurgiu,170932,94,3,26570
judete/Muntenia/Giurgiu/informatiadegiurgiu,72809,44,4,11068
judete/Muntenia/Giurgiu/giurgiunews,98123,50,4,15502
judete/Muntenia/Calarasi,167528,78,3,27008
judete/Muntenia/Calarasi/expresdecalarasi,167528,78,4,27008
judete/Muntenia/Dambovita,471652,241,3,74825
judete/Muntenia/Dambovita/gazetadambovitei,338661,150,4,54849
judete/Muntenia/Dambovita/ziardambovita,90442,50,4,13774
judete/Muntenia/Dambovita/impactdb,42549,41,4,6202
judete/Muntenia/Prahova,604102,217,3,96242
judete/Muntenia/Prahova/observatorulph,203566,80,4,33155
judete/Muntenia/Prahova/jurnalulph,286346,92,4,45412
judete/Muntenia/Prahova/actualitateaprahoveana,114190,45,4,17675
judete/Banat,2438984,1092,2,393396
judete/Banat/Timis,769984,251,3,126482
judete/Banat/Timis/ziarulactualitatea.ro,769984,251,4,126482
judete/Banat/Caras-Severin,1669000,841,3,266914
judete/Banat/Caras-Severin/expressdebanat.ro,769682,428,4,122321
judete/Banat/Caras-Severin/carasanul.ro,899318,413,4,144593
judete/Oltenia,7968524,4032,2,1237666
judete/Oltenia/Olt,2482974,1238,3,386732
judete/Oltenia/Olt/Ziarul_Gorjului,1145998,600,4,179992
judete/Oltenia/Olt/Ziarul_De_Olt,530259,300,4,80520
judete/Oltenia/Olt/Eveniment_De_Olt,671141,306,4,105284
judete/Oltenia/Olt/Gazeta_Noua,135576,32,4,20936
judete/Oltenia/Gorj,1564187,800,3,244465
judete/Oltenia/Gorj/Gorjeanul,1305306,500,4,204793
judete/Oltenia/Gorj/Accent_De_gorj,258881,300,4,39672
judete/Oltenia/Mehedinti,1207653,518,3,185167
judete/Oltenia/Mehedinti/Cronica_De_Severin,1182830,500,4,181397
judete/Oltenia/Mehedinti/Piata_Severineana,24823,18,4,3770
judete/Oltenia/Dolj,892675,504,3,138746
judete/Oltenia/Dolj/Ora_De_Dolj,892675,504,4,138746
judete/Oltenia/Valcea,1821035,972,3,282556
judete/Oltenia/Valcea/Curierul,566459,300,4,87933
judete/Oltenia/Valcea/Gazeta_Valceana,834617,432,4,131322
judete/Oltenia/Valcea/Cozia_Info,314782,174,4,47250
judete/Oltenia/Valcea/Actualitatea_Valceana,105177,66,4,16051
judete/Moldova,12682466,5587,2,1993523
judete/Moldova/Vaslui,2749616,1232,3,421454
judete/Moldova/Vaslui/Est_News,2079911,936,4,314950
judete/Moldova/Vaslui/BZV,669705,296,4,106504
judete/Moldova/Galati,967191,606,3,149833
judete/Moldova/Galati/Monitorul_De_Galati,967191,606,4,149833
judete/Moldova/Neamt,2719508,872,3,429623
judete/Moldova/Neamt/Atacul,1432830,293,4,224252
judete/Moldova/Neamt/Monitorul,616433,302,4,96013
judete/Moldova/Neamt/Vestea,670245,277,4,109358
judete/Moldova/Vrancea,16758,84,3,3192
judete/Moldova/Vrancea/Ziarul_De_Vrancea,16758,84,4,3192
judete/Moldova/Bacau,2800628,1204,3,435533
judete/Moldova/Bacau/Ziarul_De_Garda,999411,298,4,155195
judete/Moldova/Bacau/Ziarul_De_Bacau,366424,300,4,56739
judete/Moldova/Bacau/Desteptarea,761969,308,4,117242
judete/Moldova/Bacau/Observator,672824,298,4,106357
judete/Moldova/Iasi,1205315,681,3,195023
judete/Moldova/Iasi/Ieseanul,870889,300,4,139735
judete/Moldova/Iasi/Ziarul_De_Iasi,105800,323,4,18707
judete/Moldova/Iasi/News_Iasi,228626,58,4,36581
judete/Moldova/Botosani,2223450,908,3,358865
judete/Moldova/Botosani/Monitorul,656630,300,4,101257
judete/Moldova/Botosani/Ziarul_Evenimentul,676850,300,4,110450
judete/Moldova/Botosani/Botosaneanul,889970,308,4,147158
judete/Maramures,675498,244,2,110010
judete/Maramures/Maramures,675498,244,3,110010
judete/Maramures/Maramures/directmm.ro,435969,200,4,71541
judete/Maramures/Maramures/gazetademaramures.ro,239529,44,4,38469
